"components/c-05/title/","Introduction"
"components/c-05/body/","Adapt allows you to combine text and graphic components on the scrolling page to create rich and varied learning experiences. In addition, a wide range of interactive components are also available to help encourage deeper engagement with the material.<br><br>These presentation components can be structured in any way to help you create learning experiences that meet the needs of your learners."
"components/c-10/title/","c-10"
"components/c-15/title/","Text components"
"components/c-15/displayTitle/","Text components"
"components/c-15/body/","The simple text component can often be the best choice for imparting information, particularly when used in conjunction with complementary graphics. In this example we’ve used the blank component to the right to create a window through to the block background.<br><br>Remember, content doesn’t always warrant an interaction so less can often be really be more. Instead, look to intersperse more interactive components with text and graphics where they add the maximum value.<br><br>Component can either be single or spanned."
"components/c-20/title/","c-20"
"components/c-25/title/","Graphic"
"components/c-25/displayTitle/","Graphic"
"components/c-25/body/","This is the graphic component body. You can introduce your graphic or you may just want to let the graphics do the talking.<br><br>Component can either be single or spanned."
"components/c-30/title/","Narrative"
"components/c-30/displayTitle/","Narrative"
"components/c-30/body/","The narrative component lets you scroll through a series of images each with some accompanying text.<br><br>This component is always spanned."
"components/c-35/title/","Hot graphic"
"components/c-35/displayTitle/","Hot graphic"
"components/c-35/body/","You can add interactivity to an image by using the <strong>hot graphic</strong>. This component allows you to position icons over an image. When an icon is selected, content associated with its corresponding location is displayed in a window over the image. This component will fall back to a <strong>narrative</strong> when viewed on mobile.<br><br>This component is always spanned."
"components/c-40/title/","Media"
"components/c-40/displayTitle/","Media"
"components/c-40/body/","Sometimes we need to make use of rich media to really drive home a point, bring a complex subject to life or just let audio to literally do the talking. This is when the media component comes to the fore.<br><br>Component can be either single or spanned."
"components/c-45/title/","Accordion"
"components/c-45/displayTitle/","Accordion"
"components/c-45/body/","You can use the <strong>accordion</strong> component to present learners with a series of headings, which once selected, expand to reveal associated text. Select each of the headings below to find out more about how accordions can be used.<br><br>These components can be either single or spanned. If spanned they can also contain a graphic."
"components/c-60/title/","Multiple Choice Question"
"components/c-60/displayTitle/","Multiple Choice Question"
"components/c-60/body/","In what year was the first recorded instance of a large scale assessment that consists solely of multiple choice questions?"
"components/c-62/title/","c-62"
"components/c-65/title/","Graphical Multiple Choice Question"
"components/c-65/displayTitle/","Graphical Multiple Choice Question"
"components/c-65/body/","The graphical multiple choice question is an alternative to the standard MCQ, and allows you to ask a question and present the options as graphics (with accompanying captions). This component is always spanned."
"components/c-70/title/","Text Input"
"components/c-70/displayTitle/","Text Input"
"components/c-70/body/","Can you name one of the three companies that established Adapt as a community led Open Source project?"
"components/c-72/title/","c-72"
"components/c-75/title/","Matching"
"components/c-75/displayTitle/","Matching"
"components/c-75/body/","Can you identify some of the key facts and figures associated with the Adapt Open Source project?"
"components/c-80/title/","Slider"
"components/c-80/displayTitle/","Slider"
"components/c-80/body/","Working memory is thought to be responsible for our ability to temporarily hold and manipulating information but according to a paper by Miller (1956) what ‘magic number’ describes its capacity?"
"components/c-90/title/","To scroll or not to scroll?"
"components/c-90/displayTitle/","To scroll or not to scroll?"
"components/c-90/body/","Can you identify a few of the benefits that a vertical scrolling approach offers over the traditional back and next approach?"
"components/c-95/title/","c-95"
"components/c-97/title/","Introduction"
"components/c-97/body/","You’ve just encountered the <strong>Trickle</strong> extension. Trickle can be used to control the presentation of content and the manner in which it can be navigated within an Adapt page. In the example just shown the extension was configured to ensure that no content beyond the first question was visible until that block was registered as completed (the question had been attempted). Once the block was completed, a continue button was shown which, once selected, scrolled the next block into view.<br><br>Trickle can be configured in a variety of ways so please read the wiki for all possible configuration options."
"components/c-98/title/","c-98"
"components/c-100/title/","Do you know your plugins?"
"components/c-100/displayTitle/","Do you know your plugins?"
"components/c-100/body/","Which of the following are types of Adapt plugins?"
"components/c-105/title/","c-105"
"components/c-110/title/","It’s as simple as A, B, C"
"components/c-110/displayTitle/","It’s as simple as A, B, C"
"components/c-110/body/","Can you identify the missing word in the following sequence: Article / ..... /Component."
"components/c-115/title/","c-115"
"components/c-120/title/","Content objects"
"components/c-120/displayTitle/","Content objects"
"components/c-120/body/","What would you be referring to when describing a content object within Adapt?"
"components/c-125/title/","c-95"
"components/c-130/title/","Adding titles to icons"
"components/c-130/displayTitle/","Adding titles to icons"
"components/c-130/body/","Version 2.0 of the framework makes it possible to add titles to the icons shown on the navigation bar. Do you know what JSON file you would need to edit to add a title to an icon?"
"components/c-135/title/","c-95"
"components/c-140/title/","Control the scroll"
"components/c-140/displayTitle/","Control the scroll"
"components/c-140/body/","The <strong>Trickle</strong> extension makes it possible to control how the learner scrolls down the page, but what element of a page is it applied to?"
"components/c-145/title/","c-95"
"components/c-147/title/","c-147"
"components/c-147/body/","The new Assessment Results component allows you to specific the assessment pass mark, and provide tailored feedback to as many scoring bands as you wish.<br><br>In this short assessment we set the pass mark at 70% or above, provided four scoring bands each of which has some accompanying feedback. The four score bands were:<br><br><ul><li>0-40% (fail)</li><li>41-69%(fail)</li><li>70-99% (pass)</li><li>100% (perfect score)</li></ul><br>So, how did you do? Let’s find out."
"components/c-150/title/","Results"
"components/c-150/displayTitle/","Results"
