"contentObjects/co-05/title/","Presentation Components"
"contentObjects/co-05/displayTitle/","Presentation Components"
"contentObjects/co-05/body/","Find out what presentation components are available within the core bundle and how you might consider using them within your courses. "
"contentObjects/co-05/_graphic/alt/","Placeholder graphic."
"contentObjects/co-05/linkText/","View"
"contentObjects/co-05/duration/","2 mins"
"contentObjects/co-10/title/","Question Components"
"contentObjects/co-10/displayTitle/","Question Components"
"contentObjects/co-10/body/","Discover what question components are available within the framework, along with some tips on how to use them."
"contentObjects/co-10/_graphic/alt/","Placeholder graphic."
"contentObjects/co-10/linkText/","View"
"contentObjects/co-10/duration/","2 mins"
"contentObjects/co-15/title/","Adapt Assessment"
"contentObjects/co-15/displayTitle/","Adapt Assessment"
"contentObjects/co-15/body/","Find out more about the new assessment functionality in V2.0, including randomised banks and an improved results feature."
"contentObjects/co-15/_graphic/alt/","Placeholder graphic."
"contentObjects/co-15/linkText/","View"
"contentObjects/co-15/duration/","2 mins"
